Price,Close,High,Low,Open,Volume,MA20
Ticker,EURUSD=X,EURUSD=X,EURUSD=X,EURUSD=X,EURUSD=X,
Date,,,,,,
2025-04-17,1.1396790742874146,1.1396400928497314,1.13413405418396,1.1396790742874146,0,
2025-04-22,1.1512778997421265,1.1546543836593628,1.1453967094421387,1.1512778997421265,0,
2025-04-23,1.1351252794265747,1.144007682800293,1.13379967212677,1.1351252794265747,0,
2025-04-24,1.132733702659607,1.1394323110580444,1.1322335004806519,1.132733702659607,0,
2025-04-25,1.1371906995773315,1.1384334564208984,1.1316184997558594,1.1371906995773315,0,
2025-04-28,1.1343141794204712,1.140823245048523,1.133105993270874,1.1343141794204712,0,
2025-04-29,1.1409143209457397,1.1419566869735718,1.1371389627456665,1.1409143209457397,0,
2025-04-30,1.1389262676239014,1.1398869752883911,1.1327080726623535,1.1389262676239014,0,
2025-05-01,1.1324899196624756,1.1340954303741455,1.126697063446045,1.1324899196624756,0,
2025-05-02,1.1296498775482178,1.1378635168075562,1.1275228261947632,1.1296498775482178,0,
2025-05-05,1.1323232650756836,1.1364539861679077,1.1312856674194336,1.1323232650756836,0,
2025-05-06,1.1313369274139404,1.1361182928085327,1.1281206607818604,1.1313369274139404,0,
2025-05-07,1.1342755556106567,1.1377729177474976,1.1327080726623535,1.1342755556106567,0,
2025-05-08,1.1306205987930298,1.1336711645126343,1.123608112335205,1.1306205987930298,0,
2025-05-09,1.122422695159912,1.1291142702102661,1.1199839115142822,1.122422695159912,0,
2025-05-12,1.12296462059021,1.1242902278900146,1.1075055599212646,1.12296462059021,0,
2025-05-13,1.1095577478408813,1.1177430152893066,1.109668493270874,1.1095577478408813,0,
2025-05-14,1.1185556650161743,1.1264559030532837,1.1182429790496826,1.1185556650161743,0,
2025-05-15,1.1181930303573608,1.1227755546569824,1.117480754852295,1.1181930303573608,0,
2025-05-16,1.1192693710327148,1.1219944953918457,1.1141440868377686,1.1192693710327148,0,1.1305910348892212
2025-05-19,1.1187559366226196,1.128604531288147,1.1173559427261353,1.1187559366226196,0,1.1295448780059814
2025-05-20,1.1233429908752441,1.1277261972427368,1.12186861038208,1.1233429908752441,0,1.1281481325626372
2025-05-21,1.1287955045700073,1.1362345218658447,1.1287446022033691,1.1287955045700073,0,1.127831643819809
2025-05-22,1.133118748664856,1.134455680847168,1.1267098188400269,1.133118748664856,0,1.1278508961200715
2025-05-23,1.1281843185424805,1.1376564502716064,1.1279934644699097,1.1281843185424805,0,1.1274005770683289
2025-05-26,1.1372811794281006,1.1418914794921875,1.136932134628296,1.1372811794281006,0,1.1275489270687102
2025-05-27,1.1388484239578247,1.1409013271331787,1.1325156688690186,1.1388484239578247,0,1.1274456322193145
2025-05-28,1.1337097883224487,1.1345586776733398,1.128426194190979,1.1337097883224487,0,1.127184808254242
2025-05-29,1.123368263244629,1.1369450092315674,1.12271249294281,1.123368263244629,0,1.1267287254333496
2025-05-30,1.1378376483917236,1.1390429735183716,1.1314393281936646,1.1378376483917236,0,1.127138113975525
2025-06-02,1.1353315114974976,1.1449114084243774,1.135589361190796,1.1353315114974976,0,1.1272885262966157
2025-06-03,1.1453442573547363,1.145514726638794,1.1367640495300293,1.1453442573547363,0,1.1279888927936554
2025-06-04,1.1384464502334595,1.143458366394043,1.1359375715255737,1.1384464502334595,0,1.1281974375247956
2025-06-05,1.1422044038772583,1.1494252681732178,1.1406149864196777,1.1422044038772583,0,1.128776627779007
2025-06-06,1.1453834772109985,1.1458691358566284,1.137229561805725,1.1453834772109985,0,1.1299246668815612
2025-06-09,1.1407841444015503,1.1440337896347046,1.138757586479187,1.1407841444015503,0,1.1308156430721283
2025-06-10,1.1428048610687256,1.1448328495025635,1.1374623775482178,1.1428048610687256,0,1.1324779987335205
2025-06-11,1.143746018409729,1.149095058441162,1.1406019926071167,1.143746018409729,0,1.1337375164031982
2025-06-12,1.1509333848953247,1.1628718376159668,1.1502846479415894,1.1509333848953247,0,1.1353745341300965
2025-06-13,1.1600254774093628,1.1612108945846558,1.1492931842803955,1.1600254774093628,0,1.1374123394489288
2025-06-16,1.1556684970855713,1.1614806652069092,1.1524852514266968,1.1556684970855713,0,1.1392579674720764
2025-06-17,1.1551345586776733,1.1574074029922485,1.1512514352798462,1.1551345586776733,0,1.1408475458621978
2025-06-18,1.1482638120651245,1.1530035734176636,1.1482374668121338,1.1482638120651245,0,1.1418209612369536
